GeneID	SRR16497780	SRR16497781	SRR16497782	SRR16497783	SRR16497784	SRR16497785
ENSG00000006638	59	78	151	51	89	70
ENSG00000006652	209	360	803	555	376	486
ENSG00000006659	0	2	4	0	1	0
ENSG00000006695	49	80	142	97	61	116
ENSG00000006704	357	352	629	420	312	409
ENSG00000006712	139	202	358	276	294	335
ENSG00000006715	799	617	1530	1162	773	779
ENSG00000006740	33	36	41	23	21	34
ENSG00000006744	448	423	1162	905	735	1001
ENSG00000006747	13	20	3	8	4	0
ENSG00000006756	184	399	188	341	121	399
ENSG00000006757	0	0	0	2	0	0
ENSG00000006788	0	20	4	11	0	7
ENSG00000006831	116	338	743	518	307	710
ENSG00000006837	16	8	20	21	6	8
ENSG00000007001	1	3	3	0	1	0
ENSG00000007038	7	9	2	0	3	2
ENSG00000007047	315	530	599	572	350	506
ENSG00000007062	331	119	686	193	357	139
ENSG00000007080	279	177	517	354	455	335
ENSG00000007129	0	2	1	1	1	0
ENSG00000007168	1346	1510	3250	1906	1647	1977
ENSG00000007171	5	6	0	8	3	1
ENSG00000007174	35	49	24	39	20	12
ENSG00000007202	524	694	1984	1562	1136	1919
ENSG00000007216	8	6	1	5	0	0
ENSG00000007237	1870	1437	4201	1508	1729	1383
ENSG00000007255	85	131	232	209	97	124
ENSG00000007264	6	8	9	14	2	2
ENSG00000007306	15	10	4	5	2	0
ENSG00000007312	6	1	1	3	0	1
ENSG00000007314	24	12	2	14	3	1
ENSG00000007341	25	77	162	131	94	103
ENSG00000007350	0	3	0	4	0	0
ENSG00000007372	71	25	95	18	62	6
ENSG00000007376	251	195	476	374	375	488
ENSG00000007384	269	248	760	378	336	542
ENSG00000007392	290	208	603	344	432	368
ENSG00000007402	48	11	50	14	11	9
ENSG00000007516	167	192	268	98	178	82
ENSG00000007520	733	565	867	780	776	787
ENSG00000007541	281	301	576	290	336	371
ENSG00000007545	228	176	458	284	254	253
ENSG00000007866	160	231	455	430	300	499
ENSG00000007908	26	7	1	3	0	0
ENSG00000007923	154	131	446	342	238	397
ENSG00000007933	7	6	0	16	4	6
ENSG00000007944	23	39	25	33	4	13
ENSG00000007952	12	7	3	1	7	2
ENSG00000007968	160	31	238	71	227	77
ENSG00000008018	146	276	710	487	373	665
ENSG00000008056	4	8	8	9	5	8
ENSG00000008083	351	125	631	683	401	353
ENSG00000008086	62	91	375	101	157	127
ENSG00000008118	0	0	1	2	2	0
ENSG00000008128	46	37	51	52	25	37
ENSG00000008130	684	651	1268	1470	959	1273
ENSG00000008196	8	27	1	104	1	81
ENSG00000008197	0	4	1	5	1	0
ENSG00000008226	8	34	34	32	19	11
ENSG00000008256	366	402	1040	799	655	852
ENSG00000008277	50	33	162	37	42	15
ENSG00000008282	87	224	510	315	168	339
ENSG00000008283	31	412	127	220	63	486
ENSG00000008294	1808	1668	4418	2197	2044	1662
ENSG00000008300	361	1177	832	1995	541	1794
ENSG00000008311	109	121	564	199	218	205
ENSG00000008323	75	18	88	55	51	32
ENSG00000008324	58	44	152	55	42	80
ENSG00000008382	69	48	141	75	93	59
ENSG00000008394	15	315	18	360	4	779
ENSG00000008405	63	136	257	211	119	251
ENSG00000008438	0	1	2	1	4	0
ENSG00000008441	1958	2338	4163	2675	2568	2253
ENSG00000008513	360	468	827	123	343	202
ENSG00000008516	9	17	37	21	21	18
ENSG00000008517	252	17	257	160	297	36
ENSG00000008710	2140	2690	3818	3836	2800	3286
ENSG00000008735	107	205	235	357	157	323
ENSG00000008838	611	663	1314	880	747	875
ENSG00000008853	52	96	197	186	109	159
ENSG00000008869	73	199	466	297	165	329
ENSG00000008952	135	330	931	480	307	577
ENSG00000008988	2533	2328	6925	4218	3215	3705
ENSG00000009307	1720	1989	7283	4454	3001	3903
ENSG00000009335	380	591	1291	901	705	1281
ENSG00000009413	277	347	1314	474	446	497
ENSG00000009694	112	45	643	335	168	133
ENSG00000009709	5	12	2	0	2	0
ENSG00000009724	6	12	58	28	8	16
ENSG00000009765	24	4	13	6	5	4
ENSG00000009780	74	55	198	130	55	104
ENSG00000009790	11	10	7	5	1	2
ENSG00000009830	333	230	476	489	353	417
ENSG00000009844	67	147	496	282	147	349
ENSG00000009950	5	8	12	8	5	7
ENSG00000009954	1151	885	2105	1434	1575	1640
ENSG00000010017	128	137	455	244	208	243
ENSG00000010030	12	9	23	24	8	14
ENSG00000010072	102	58	286	159	130	137
ENSG00000010165	299	178	615	563	492	463
ENSG00000010219	42	42	100	61	31	49
ENSG00000010244	467	477	1843	936	742	858
ENSG00000010256	1033	903	2490	1709	1566	1786
ENSG00000010270	101	233	513	331	157	452
ENSG00000010278	116	429	798	544	292	933
ENSG00000010282	10	1	4	1	6	0
ENSG00000010292	961	674	2093	1145	1450	1813
