GeneID	SRR16497780	SRR16497781	SRR16497782	SRR16497783	SRR16497784	SRR16497785
ENSG00000006634	51	31	213	83	123	123
ENSG00000006638	64	72	154	54	86	72
ENSG00000006652	23	84	159	126	68	59
ENSG00000006659	0	1	4	0	1	0
ENSG00000006695	45	91	171	110	69	134
ENSG00000006704	358	362	638	425	323	421
ENSG00000006712	134	200	346	273	299	338
ENSG00000006715	802	622	1546	1187	780	796
ENSG00000006740	24	27	29	15	16	32
ENSG00000006744	470	438	1197	930	767	1036
ENSG00000006747	9	11	2	3	2	0
ENSG00000006756	184	423	205	382	125	442
ENSG00000006757	0	0	0	0	0	0
ENSG00000006788	0	10	3	6	0	4
ENSG00000006831	124	344	748	542	315	723
ENSG00000006837	13	8	20	19	6	8
ENSG00000007001	1	3	0	0	1	0
ENSG00000007038	1	7	1	0	0	0
ENSG00000007047	313	522	601	580	347	503
ENSG00000007062	321	119	707	200	372	144
ENSG00000007080	288	179	540	367	475	341
ENSG00000007129	0	2	1	0	1	0
ENSG00000007168	1807	1887	4049	2298	2025	2422
ENSG00000007171	4	3	0	3	0	1
ENSG00000007174	16	33	12	17	16	10
ENSG00000007202	914	1188	3341	2637	1991	3278
ENSG00000007216	6	1	1	2	0	0
ENSG00000007237	1929	1462	4266	1545	1778	1417
ENSG00000007255	90	129	238	228	100	134
ENSG00000007264	3	5	6	7	1	2
ENSG00000007306	9	2	1	2	2	0
ENSG00000007312	1	0	0	2	0	0
ENSG00000007314	12	6	1	8	0	1
ENSG00000007341	28	99	206	143	109	143
ENSG00000007350	0	3	0	2	0	0
ENSG00000007372	77	17	126	17	57	4
ENSG00000007376	268	204	517	422	425	528
ENSG00000007384	269	250	777	391	350	573
ENSG00000007392	296	210	622	355	445	382
ENSG00000007402	32	10	40	7	9	2
ENSG00000007516	163	176	251	89	171	62
ENSG00000007520	799	588	921	825	831	853
ENSG00000007541	279	303	571	287	335	375
ENSG00000007545	290	212	553	379	316	309
ENSG00000007866	157	233	443	427	296	500
ENSG00000007908	12	5	0	2	0	0
ENSG00000007923	266	261	741	658	466	675
ENSG00000007933	4	5	0	16	2	6
ENSG00000007944	13	36	25	32	3	13
ENSG00000007952	9	6	0	0	5	0
ENSG00000007968	159	29	234	71	228	77
ENSG00000008018	172	283	730	510	388	697
ENSG00000008056	2	4	4	6	2	2
ENSG00000008083	356	123	624	696	410	361
ENSG00000008086	56	86	387	101	154	131
ENSG00000008118	0	0	1	1	0	0
ENSG00000008128	44	37	60	52	34	40
ENSG00000008130	681	661	1274	1499	975	1287
ENSG00000008196	1	25	1	102	1	82
ENSG00000008197	0	3	0	0	1	0
ENSG00000008226	10	18	12	10	7	0
ENSG00000008256	352	394	1040	802	653	857
ENSG00000008277	31	30	127	31	34	14
ENSG00000008282	84	227	518	317	176	345
ENSG00000008283	24	408	103	197	55	477
ENSG00000008294	1889	1746	4596	2278	2144	1754
ENSG00000008300	361	1175	835	2031	534	1812
ENSG00000008311	138	153	811	290	289	306
ENSG00000008323	47	5	42	2	41	2
ENSG00000008324	58	36	157	59	45	82
ENSG00000008382	130	102	302	151	205	123
ENSG00000008394	8	317	18	365	3	815
ENSG00000008405	96	169	328	267	155	319
ENSG00000008438	0	0	0	0	0	0
ENSG00000008441	1997	2374	4203	2721	2609	2297
ENSG00000008513	376	465	848	119	354	200
ENSG00000008516	5	12	23	14	20	11
ENSG00000008517	252	15	261	161	301	36
ENSG00000008710	2402	3096	4505	4436	3185	3830
ENSG00000008735	99	207	235	354	160	333
ENSG00000008838	643	700	1373	927	804	905
ENSG00000008853	79	148	257	226	147	258
ENSG00000008869	74	211	493	309	181	350
ENSG00000008952	134	329	938	480	305	577
ENSG00000008988	2742	2477	7547	4479	3486	3944
ENSG00000009307	1805	2107	7620	4699	3185	4099
ENSG00000009335	392	612	1347	948	731	1332
ENSG00000009413	301	384	1473	525	509	551
ENSG00000009694	117	44	683	348	190	141
ENSG00000009709	3	6	2	0	1	0
ENSG00000009724	0	4	9	1	0	2
ENSG00000009765	13	1	8	5	4	3
ENSG00000009780	72	55	198	130	55	109
ENSG00000009790	9	6	2	0	2	1
ENSG00000009830	346	231	475	500	360	419
ENSG00000009844	65	157	499	297	156	357
ENSG00000009950	3	3	11	8	1	7
ENSG00000009954	1234	930	2223	1480	1667	1741
ENSG00000010017	140	186	622	386	270	359
ENSG00000010030	9	8	24	20	9	12
ENSG00000010072	98	57	286	154	126	138
ENSG00000010165	303	179	614	569	496	469
ENSG00000010219	26	35	107	59	32	49
ENSG00000010244	452	471	1855	939	757	872
ENSG00000010256	1073	940	2565	1771	1625	1862
ENSG00000010270	100	238	535	331	162	468
ENSG00000010278	131	462	819	557	301	961
ENSG00000010282	9	1	6	0	2	0
ENSG00000010292	1055	728	2276	1232	1559	1915
ENSG00000010295	173	277	427	335	269	455
ENSG00000010310	30	57	36	29	25	9
ENSG00000010318	54	49	97	59	61	35
ENSG00000010319	15	7	1	13	4	1
ENSG00000010322	1199	1646	2560	2238	1590	1934
ENSG00000010327	15	8	0	11	12	2
ENSG00000010361	97	105	155	125	134	118
ENSG00000010379	4	7	14	7	2	2
ENSG00000010404	104	182	289	396	161	347
ENSG00000010438	5	0	0	4	0	1
ENSG00000010539	88	92	219	123	116	135
ENSG00000010610	3	13	2	6	0	0
ENSG00000010626	99	118	246	161	100	85
ENSG00000010671	2	1	0	1	0	1
ENSG00000010704	1	28	2	4	2	12
ENSG00000010803	139	135	446	240	211	230
ENSG00000010810	655	1271	2149	1652	959	1351
ENSG00000010818	47	237	250	80	71	197
ENSG00000010932	3	3	0	1	0	1
ENSG00000011007	244	285	728	639	452	702
ENSG00000011009	187	199	491	325	368	404
ENSG00000011021	457	296	1286	878	689	844
ENSG00000011028	4324	12644	10283	11193	5186	8169
ENSG00000011052	0	0	0	0	0	0
ENSG00000011083	4	6	1	1	0	0
