"","SRR16497780","SRR16497781","SRR16497782","SRR16497783","SRR16497784","SRR16497785"
"ENSG00000000003",79.4317417449691,191.672046949672,202.00992673414,187.43257727891,106.300368706506,230.78681659641
"ENSG00000000419",59.5738063087268,93.9319965183823,130.921389466994,115.719243363501,110.776173704675,155.390326712324
"ENSG00000000457",102.126525100675,81.2384834753577,104.263187991814,95.3461371375327,93.9919049615422,75.396489884086
"ENSG00000000460",21.2763593959739,36.8111878247715,76.4201775621821,39.1163639538596,63.7802212239037,66.2017959957828
"ENSG00000000938",18.4395114765107,20.3096208688394,1.18480895445244,4.0746212451937,10.0705612458795,0
"ENSG00000000971",14.1842395973159,3.80805391290739,0,4.88954549423244,2.23790249908434,2.75840816649095
"ENSG00000001036",197.160930402691,323.684582597128,137.437838716482,325.154775366458,154.415272436819,442.264776027382
"ENSG00000001084",87.9422855033586,307.183015641196,69.3113238354675,85.5670461490678,68.2560262220723,225.270000263428
"ENSG00000001167",78.0133177852375,76.1610782581478,136.845434239256,88.011818896184,125.322539948723,102.061102160165
"ENSG00000001460",55.318534429532,59.6595113022158,78.7897954710869,40.746212451937,46.9959524807711,48.7318776080068
"ENSG00000001461",252.479464832223,385.882796507949,412.905920626674,264.850380937591,254.001933646072,320.894816701781
"ENSG00000001497",211.345170000007,112.972266082919,248.217475957785,260.775759692397,300.997886126844,264.807183983131
"ENSG00000001561",0,30.4644313032591,5.92404477226218,13.8537122336586,4.47580499816868,11.0336326659638
"ENSG00000001617",165.955603288596,22.8483234774444,176.536534213413,74.9730309115641,236.098713653398,22.9867347207579
"ENSG00000001626",29.7869031543634,16.501566955932,1.18480895445244,15.4835607317361,7.83265874679519,0.919469388830317
"ENSG00000001629",476.590450469814,858.081481708466,799.153639778168,766.028794096416,644.51591973629,832.119796891437
"ENSG00000001630",1134.73916778527,317.337826075616,387.432528105946,433.53970048861,759.767898439133,469.848857692292
"ENSG00000001631",58.1553823489952,163.746318255018,158.764399896626,144.241592079857,115.251978702843,156.309796101154
"ENSG00000002016",76.5948938255059,111.702914778617,68.7189193582412,110.01477362023,106.300368706506,142.517755268699
"ENSG00000002079",11.3473916778527,27.9257286946542,13.0328984989768,20.3731062259685,5.59475624771085,16.5504489989457
"ENSG00000002330",51.0632625503373,86.3158886925676,68.7189193582412,70.0834854173317,64.8991724734458,105.738979715486
"ENSG00000002549",156.026635570475,167.554372167925,266.582014751798,231.438486727002,268.548299890121,249.176204373016
"ENSG00000002587",2.83684791946318,7.61610782581478,18.956943271239,9.77909098846489,5.59475624771085,0.919469388830317
"ENSG00000002726",31.205327114095,16.501566955932,0,8.14924249038741,4.47580499816868,0
"ENSG00000002745",2.83684791946318,13.9628643473271,0.592404477226218,4.0746212451937,3.35685374862651,0
"ENSG00000002746",41.1342948322161,19.040269564537,9.47847163561948,8.14924249038741,2.23790249908434,0
"ENSG00000002822",468.079906711425,354.149013900388,311.012350543764,413.98151851168,553.880868523374,487.318776080068
"ENSG00000002834",987.223075973187,2581.86055295121,1315.1379394422,1735.78865045252,1593.38657934805,3521.56775922011
"ENSG00000002919",175.884571006717,204.365559992697,216.227634187569,222.474319987576,209.243883664386,277.679755426756
"ENSG00000002933",4.25527187919477,44.4272956505862,2.36961790890487,15.4835607317361,1.11895124954217,95.624816438353
"ENSG00000003056",191.487234563765,309.721718249801,374.992034084196,543.55447410884,304.35473987547,611.447143572161
"ENSG00000003096",85.1054375838954,213.251019122814,205.564353597498,114.904319114462,218.195493660723,149.873510379342
"ENSG00000003137",7.09211979865795,839.041212143929,14.2177074534292,21.1880304750073,5.59475624771085,69.8796735511041
"ENSG00000003147",12.7658156375843,5.07740521720986,17.7721343167865,4.88954549423244,5.59475624771085,0
"ENSG00000003249",214.18201791947,19.040269564537,177.721343167865,48.0805306932857,237.21766490294,45.0540000526855
"ENSG00000003393",295.032183624171,483.622846939239,542.642501139215,551.703716599227,424.082523576482,638.11175584824
"ENSG00000003400",11.3473916778527,40.6192417376788,0.592404477226218,22.002954724046,4.47580499816868,24.8256734984186
"ENSG00000003402",862.401767516807,408.731119985393,611.361420497457,244.477274711622,710.534043459278,181.135469599572
"ENSG00000003436",329.074358657729,1473.71686429516,239.331408799392,252.62651720201,213.719688662554,648.225919125373
