"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003",166.272246335101,0.640786084147416,0.402387978525925,1.5924583196914,0.111281761209024,0.420344681111898
"ENSG00000000419",111.052156012434,0.268585150224844,0.412596195439087,0.650963710266437,0.51506991308151,0.833319207726635
"ENSG00000000457",92.0604547585012,-0.252725420541133,0.34203926521613,-0.738878386905198,0.45998084748665,0.80169961600721
"ENSG00000000460",50.6010176594122,-0.19748671636135,0.554848502974133,-0.355929078483171,0.721893678468766,0.925143713393067
"ENSG00000000938",9.01318729847929,-0.282517970144768,1.34383250174589,-0.210233023667551,0.833485806299532,0.954646674568392
"ENSG00000001036",263.353029257827,1.16452597177674,0.308184719100429,3.77866227493664,0.000157673090186386,0.00369111185953521
"ENSG00000001084",140.588282935765,1.45452416602336,0.466478487532985,3.11809484230611,0.00182024218227222,0.0268679112750138
"ENSG00000001167",101.069215214619,-0.359530395223082,0.376119037375432,-0.955895233944801,0.339125167148102,0.714145031906961
"ENSG00000001460",55.0403139572583,-0.297358461812235,0.437408985931219,-0.679817908128194,0.496619766035371,0.821364347395137
"ENSG00000001461",315.169218875382,0.0733501073703045,0.329029345833066,0.22292877002989,0.823590944529245,0.952132163724865
"ENSG00000001497",233.185956973847,-0.249023013080851,0.386192216401673,-0.644816240475044,0.519046276170227,0.835937456914473
"ENSG00000001561",10.9586043288854,2.29905150741045,0.993225529501958,2.31473259508672,0.0206275707841566,0.152635055293722
"ENSG00000001617",116.566490044196,-2.24468858932421,0.497303460984416,-4.51372002294298,6.37002984190426e-06,0.000237744600612651
"ENSG00000001626",11.9514946553516,-0.210110852317781,1.17990007417085,-0.17807512425612,0.858663977745764,0.960742089511382
"ENSG00000001629",729.415013780098,0.352252166470379,0.284716109784678,1.23720490117955,0.216011022420576,0.585390720785608
"ENSG00000001630",583.777663097812,-0.899357350247444,0.395638153815181,-2.27318154625596,0.0230152418813064,0.163958309576372
"ENSG00000001631",132.744911230749,0.469325926288153,0.408855503015761,1.14790169834173,0.251009147023667,0.626198281031337
"ENSG00000002016",102.641604259633,0.538883918400096,0.361890791943505,1.48907883371684,0.136466610765237,0.466651647300295
"ENSG00000002079",15.8040550573515,1.08929272969048,0.707594319395927,1.53943113989441,0.123699076708332,0.443664035980365
"ENSG00000002330",74.4699513679017,0.496538550617699,0.387124265265725,1.28263349825636,0.199620508454995,0.565219729692969
"ENSG00000002549",223.221002246723,-0.0947736201262584,0.344611382159369,-0.27501593108271,0.783303998836358,0.943304009402658
"ENSG00000002726",10.0553235930972,-0.52050067875437,1.52884327043029,-0.340453916252565,0.733514721641202,0.928032836461023
"ENSG00000002746",13.3400301703074,-0.961057081488868,1.22953215855127,-0.781644526175925,0.434423511523283,0.78418101517032
"ENSG00000002822",431.403739045116,-0.0829838109875349,0.317089680567942,-0.261704546293975,0.793549235229313,0.946195701364921
"ENSG00000002834",1955.82742623121,1.00838003393639,0.334228199332761,3.01704056075903,0.00255255654651094,0.0350621144996527
"ENSG00000002919",217.645954044283,0.226764839526223,0.295975945942754,0.76615969180848,0.443581289040792,0.790340879757206
"ENSG00000002933",27.2132523097195,4.37850076490238,0.891358813790138,4.91216409953316,9.00766134150201e-07,4.12100506373717e-05
"ENSG00000003056",389.259557409039,0.747347092616081,0.372318353342463,2.00727975375596,0.0447198836926026,0.250605103906619
"ENSG00000003096",164.482355576456,-0.098977417511024,0.430975211684872,-0.229659188805959,0.818356609872843,0.952132163724865
"ENSG00000003137",159.502249944973,5.09711853688506,1.40157110797235,3.63671775758779,0.000276134212715086,0.00583792318782366
"ENSG00000003249",123.549304383464,-2.46690502876552,0.409617178196276,-6.02246477950068,1.71780758929275e-09,1.49484401563228e-07
"ENSG00000003393",489.199254621096,0.404061984158218,0.314124807846489,1.28631032654918,0.198334779972516,0.563284731371367
"ENSG00000003400",17.3105785188985,2.52857410619237,0.892455554440279,2.83327734766379,0.00460733920403081,0.0537438697144622
"ENSG00000003402",503.106849295022,-1.39075199685536,0.354463045136009,-3.92354581370176,8.72551632712998e-05,0.00224319580621488
"ENSG00000003436",526.11579279037,1.60216369758707,0.511107082464744,3.1346928120441,0.00172034156706437,0.0257192542350247
"ENSG00000003509",68.8376731779965,0.094422691649705,0.403944301433955,0.233751760612826,0.815177701529774,0.952132163724865
"ENSG00000003756",663.757688093876,-0.0690418733785014,0.245048810533895,-0.281747433207603,0.778137180748005,0.941988882876512
"ENSG00000003987",12.951708892517,1.59749819065089,0.799788414843495,1.99740101382125,0.0457816377848055,0.254093293459021
"ENSG00000003989",23.2486047753406,-1.22311051835452,0.617498464287109,-1.98075070480795,0.047619237442012,0.260589003866753
"ENSG00000004059",668.767078669836,0.146570401654416,0.299928983465398,0.488683687588085,0.6250656542509,0.885761229783186
"ENSG00000004139",386.842338896991,-0.821189761981133,0.301018671610634,-2.72803596397282,0.00637126612999057,0.0684117213036653
"ENSG00000004142",773.85056064655,0.126161862060985,0.280066314633052,0.450471390057333,0.652370578985352,0.898494366250036
"ENSG00000004399",4770.73012120944,-0.958142267084341,0.291922472057701,-3.28218057462515,0.00103007617653678,0.0172069590278388
"ENSG00000004455",1089.09102844786,-0.108971603753513,0.293377643244338,-0.371437995576088,0.710311330083088,0.921028609702928
"ENSG00000004468",21.752095626274,0.500491372140558,0.69048953728612,0.724835562473076,0.468552915952043,0.805759766494766
"ENSG00000004478",462.851030290173,0.273983833266973,0.353734892517624,0.774545681136962,0.438608165103342,0.785615584329743
